,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,returns,volatility
TECH,4.045761631612492,2.975918027160857,0.9892239054762956,70.27264476769103,138.17537367731742,208.44801844500847,24.599921002848056,183.8480974421604,0.6631470883998174,0.205487068736117,0.1568824351616093,0.1345534911471332,0.1423291523456679,0.0509825356477624,0.08242356439534,0.0823142628722106,0.857670847654332,0.7634662177359443,0.205487068736117,0.3814567954956724,0.6167019421082388,0.2970965156620025,0.3023554106571364,6.759686708131767,0.35952767440019,1.616701942108239,5.194055257299987,14.837446020974706,2.641570565623284,4.6352287407734405,0.3789016190744052,1.2017879357348933,1.0336412482464732,1.0986540853868347,0.5034141060871014,0.2543662098077607,0.8600862244588947,0.35952767440019,14.52952,-7.147259061036559,7.912647584193787,0.5034141060871014,6.782881495964701,6.782881495964701,11.072808996002834,82.29298921642102,50.61233778039537,43.53097451257853,43.53097451257853,-3.229452094486509,11.072808996002834,0.0061173389237712,39.21981613187913,6.782881495964701,56.0,3.9430398271989247
FIS,0.8372182623771913,0.529955692544789,0.1109612791369678,153.65818252201683,0.0,153.65818252201683,76.53403933434191,77.12414318767492,0.3603019452240394,0.0937772186199554,0.0399690312590728,0.0288396399883867,0.2421307506053268,0.0035558313247261,0.0060275080906148,0.0131973196774896,0.7215496368038741,0.4262125902992776,0.0937772186199554,0.4098751879340381,0.6947815533980582,0.2584259550915718,0.2912945628646378,2.4910025706940875,0.1185965257615274,1.6951051779935276,2.3754022988505747,4.7691197691197695,0.0,7.058060109289618,0.1232966613368971,5.415730337078652,3.555056179775281,2.58876404494382,2.2013422818791946,0.2332333301074228,0.6564315352697095,0.1185965257615274,0.779430789133247,-2.9106280193236715,-14.011627906976743,2.2013422818791946,1.2519225323624597,1.2519225323624597,5.990036775379851,207.7015100671141,39.12455752212389,25.68259336099585,25.68259336099585,-2.805601549597667,5.990036775379851,0.0105985858319849,25.08946146703807,1.2519225323624597,39.0,11.653788309723977
NWS,1.2125748502994012,0.954191616766467,0.4919161676646706,55.94202898550725,0.0,,0.0,,0.0,0.0580702799285288,0.0351399642644431,0.0153861425451657,0.3559322033898305,0.0098656991916491,0.0169510061242344,0.0472880122867997,0.4378531073446328,0.6051282051282051,0.0580702799285288,0.343708229902616,0.5905511811023622,0.0989357508868742,0.1371142776257431,9.915254237288137,0.6386785960082588,1.7181758530183726,6.524611398963731,0.0,0.0,0.0,0.6412067977849915,1.5863247863247862,0.6085470085470085,2.8085470085470083,1.038709677419355,0.0921183243994441,0.3836206896551724,0.6386785960082588,2.066815144766147,-1.6223776223776225,-2.2579075425790758,1.038709677419355,0.8950295275590552,0.8950295275590552,0.8124032162001191,52.80096774193549,22.989185393258428,8.819127155172414,8.819127155172414,0.4783362931325166,0.8124032162001191,0.0196721712089832,8.002152152152153,0.8950295275590552,27.0,0.8371295105017903
WST,3.0992388758782203,2.2201405152224822,1.2854215456674474,63.34284471982173,69.7054772322152,133.04832195203693,46.37173877815589,86.67658317388104,0.3292026740583727,0.1612044132833306,0.1585955758465134,0.1313658350997336,0.2021932830705963,0.1032288374476808,0.1536359013475718,0.1483148314831483,0.8283070596298835,0.9838165879973028,0.1612044132833306,0.3280943025540275,0.4883040935672514,0.1394814571709878,0.1450464648660399,34.89411764705882,1.375796178343949,1.4883040935672514,5.762292514876292,7.871173469387755,5.236317352566823,2.023202111282164,0.7858119074058256,4.962162162162162,3.254054054054054,5.933783783783784,0.1865949524203558,0.1995760639165172,0.6557734204793029,1.375796178343949,30.857142857142858,-2.9050632911392404,-4.516605166051661,0.1865949524203558,7.071205186880245,7.071205186880245,6.046209033099625,46.02573438146463,46.19775747508306,30.2952614379085,30.2952614379085,2.741958644002147,6.046209033099625,0.004054143946381,26.544401357246727,7.071205186880245,57.0,17.216244356600207
PAYX,1.1718679050567595,0.3233849329205366,0.1390299277605779,82.64625579854207,0.0,82.64625579854207,23.52139582272033,59.12485997582175,0.68779324055666,0.3634990059642147,0.362624254473161,0.2741948310139165,0.243859649122807,0.1192254495159059,0.3948845199465547,0.3579483163664839,0.756140350877193,0.9975935243929118,0.3634990059642147,0.6980751498386353,2.3120824584844435,0.2331449983898826,0.2331449983898826,77.91477272727273,1.596559517830236,3.3120824584844435,4.416413018028565,15.517786561264822,0.0,9.230486909713726,0.434820193637621,3.5398106904231628,3.1951559020044544,1.9838530066815143,0.7993039443155452,0.3370444002650762,0.9026346834447504,1.596559517830236,0.0,-10.27059773828756,1.8086770981507825,0.7993039443155453,11.763988547432715,11.763988547432715,8.168526971504308,29.79095901005414,26.850020040080164,24.23575933936296,24.23575933936296,2.766303336647886,8.168526971504308,0.0268304200628717,19.76744815263864,11.763988547432715,35.0,5.0813259530028425
CME,1.0271347913557012,0.0551989097280809,0.040272567979752,36.87489728841413,0.0,36.87489728841413,25.14020251474352,11.734694773670611,0.8153861955628595,0.531594083812654,0.552506162695152,0.4347781429745275,0.2133402736466389,0.0281392216743136,0.0810022618633007,0.0705260977630488,0.78691998810232,1.0393384341912049,0.531594083812654,0.6522077290125812,1.8774613550513035,0.1253075612360698,0.1253075612360698,14.53820224719101,0.7140414618508228,2.8786248177305587,9.898332655551036,14.518578352180937,0.0,8.948529411764707,0.0647208746092882,7.483585558091025,6.795928938416094,4.576724391370694,0.8012756909992913,0.5490550534100247,0.9081113439090092,0.7140414618508228,0.0,-10.882736156351791,1.8429290491622423,0.8012756909992912,2.743634504322799,2.743634504322799,14.726407477403452,33.871085093314434,29.53532943309163,26.82136770428016,26.82136770428016,9.70406587923462,14.726407477403452,0.0236566289149516,22.134053028489348,2.743634504322799,11.0,14.182200821821084
MSI,1.2148880488514102,1.035184646699622,0.2910729863332364,118.42715861544316,41.24241658240647,159.6695751978496,71.87436804853387,87.79520714931574,0.498415113477875,0.200456447318372,0.1269177126917712,0.1100545200963611,0.1298701298701298,0.0815636158616801,-1.24,0.2194918783840066,0.8671328671328671,0.6331435800126503,0.200456447318372,1.0641796654764142,-16.178571428571427,1.1586222524359846,1.1580492210431248,6.670886075949367,0.3554299083642036,-15.202857142857145,3.082063305978898,5.078305519897304,8.850111856823267,5.1015523932729625,0.7411200902086074,10.942376950780313,9.453781512605042,6.008403361344538,0.4366359447004608,0.2311398503867123,0.863960504662644,0.3554299083642036,113.9375,-7.350806451612903,13.916030534351146,0.4366359447004608,-38.35132,-38.35132,3.4038194497273992,30.92848387096774,17.045031111111108,14.726233680746022,14.726233680746022,-2.4868172842197027,3.4038194497273992,0.0141175993793322,19.01407243707796,-38.35132,43.0,17.330109519552817
COF,1.2787932008631664,0.3212299439758749,0.0456327730920824,23.055944809744528,0.0,,0.0,,0.0,0.0,0.2469907656929323,0.1992741906507132,0.1950829211521675,0.0142072163231847,0.095602558135526,0.0,0.8068082630200757,0.0,0.0,0.8513929271322993,5.729154815466032,0.4884120852955183,0.4884120852955183,0.0,0.30043515158081,6.729154815466032,15.831058020477816,0.0,0.0,6.357012334399269,0.0712948138280839,35.58383233532934,33.6869118905047,198.07527801539777,0.1866209880995312,0.597858503108045,0.9466915079031192,0.30043515158081,0.0,-18.7587373167982,112.42567567567568,0.1866209880995311,0.829510196342073,0.829510196342073,1.7290329488699652,8.676652722683015,3.0548956323006604,2.8920437526293648,2.8920437526293648,-1.2906520924990974,1.7290329488699652,0.0215084081458804,10.994851353984023,0.829510196342073,36.0,6.453739558779925
STZ,1.1644225298691446,0.4303369365952336,0.0295846766546557,57.02113109906357,192.6793369180068,249.7004680170704,55.77607354362316,193.9243944734472,0.5027476589452933,0.2972153770330212,0.5107195662888122,0.4233489403647116,0.1654764776839565,0.1175410088431999,0.2737550792765517,0.0925359736378736,0.8289264173703257,1.7183483956554182,0.2972153770330212,0.5608436104886851,1.3062146442514542,0.4837273968771081,0.5203592242285278,6.570961590847181,0.164968971468439,2.3290176081587126,6.401135736256802,6.544024647316362,1.8943390912504692,1.6084026952041222,0.2776456904366864,11.787269769638453,7.136485280999108,0.491158104633468,0.1623155505107832,0.2767742730409068,0.6054400569825936,0.164968971468439,1.2098346528787634,-2.5344691413742524,-6.835970785149118,0.1623155505107832,2.568466353278623,2.568466353278623,3.9720085263676688,9.382351407200442,23.703545,14.351075635489472,14.351075635489472,0.1821992111978924,3.9720085263676688,0.0173000928515867,9.48978042306097,2.568466353278623,17.0,13.74618244542435
CSX,1.5239423523942353,1.3668061366806137,0.4453742445374244,30.14911619334841,13.487894662324791,43.6370108556732,53.89990089197225,-10.262890036299048,0.4083102957191924,0.4159336516712741,0.361564882298735,0.2790483371031247,0.2282205746061167,0.0870690331181221,0.2811444969615125,0.1375117708968038,0.7717794253938832,0.8692849949647533,0.4159336516712741,0.6899129571058891,2.2277177582714383,0.5818451330556929,0.5854298610868119,6.736770691994573,0.2898810591118283,3.2289837947332884,12.106490872210951,6.771812080536913,27.061302681992338,0.365045871559633,0.3120213294299082,2.0914187149633463,1.376886589047003,0.8426045709357481,0.2290603422395677,0.4062997403032587,0.6583505154639175,0.2898810591118283,19.79591836734694,-2.926976463488232,-5.425055928411633,0.2290603422395677,4.720989196488859,4.720989196488859,4.685790399597889,16.79203842689883,17.517782649545882,11.532841237113402,11.532841237113402,2.573487148487573,4.685790399597889,0.0136410086980649,11.200762261793187,4.720989196488859,18.0,1.4338174863340234
AAPL,1.540125617208044,1.3844473032028604,0.4620216046463232,64.25876528784583,9.263638723714628,73.52240401156047,104.31407696777144,-30.791672956210974,0.3781776810903472,0.2457201718849692,0.2526655238417367,0.2123809450598445,0.1594383680423506,0.1632300984296163,0.6106445053487756,0.2746157613037913,0.8405616319576494,1.0282652901611138,0.2457201718849692,0.7326921031797611,2.7410043320661304,0.5036177624180587,0.5442214219155312,17.87751677852349,0.642229770377706,3.7410043320661295,5.68015893808401,3.4990483605848257,39.40136385776912,6.960618545668575,0.7685722388306608,3.756685493675173,3.188507858879293,5.443948396585932,0.255519762559722,0.2667099710193947,0.848755602311539,0.642229770377706,4.272844827586207,-6.611815150071463,19.14762693156733,0.255519762559722,11.16694407965697,11.16694407965697,3.8838409521320343,18.287144126972635,17.15692807457213,14.562038821749216,14.562038821749216,-54.90715024123651,3.8838409521320343,0.0139726444318248,13.067156558514537,11.16694407965697,89.0,8.605852294381132
FOX,3.783878504672897,3.037967289719626,1.889018691588785,63.03933620159804,0.0,,0.0,,0.0,0.2134515760821845,0.195276143647379,0.140047414171569,0.2612410071942446,0.0817571377313035,0.1603498542274052,0.1365960555149744,0.7171762589928058,0.9148498560263266,0.2134515760821845,0.489568916910144,0.960189001709058,0.4042999161576237,0.4042999161576237,11.975369458128078,0.3738705376981188,1.9612948627726956,5.790035587188612,0.0,0.0,8.674028941355674,0.5837818442770003,4.064412238325282,3.685990338164251,5.207729468599034,4.193103448275863,0.2216173500746334,0.9068938193343898,0.3738705376981188,0.0,-10.740425531914894,0.3911359057802572,4.193103448275863,2.245014577259475,2.245014577259475,1.960765651066819,14.000727272727271,9.755858453473133,8.847527733755943,8.847527733755943,-0.6935744895104892,1.960765651066819,0.2994918311453592,9.976132767271324,2.245014577259475,-27.0,6.623383570939002
KEYS,3.205383848454636,2.259222333000997,1.5932203389830508,56.66279339995352,145.46353872244205,202.1263321223956,52.20180893159977,149.9245231907958,0.5888914710666977,0.1652335579828027,0.1661631419939577,0.144317917731815,0.1314685314685314,0.0937641552166691,0.2067243675099866,0.1265124555160142,0.8685314685314686,1.0056258790436006,0.1652335579828027,0.5464291106749207,1.2047270306258322,0.3731218697829716,0.3731218697829716,8.8875,0.558165548098434,2.204727030625832,6.441616766467066,6.992094861660079,2.5092198581560283,7.470486111111111,0.649705571493281,5.308510638297872,4.670212765957447,8.5,0.0,0.2319312107831745,0.8797595190380761,0.558165548098434,0.0,-8.316666666666666,-8.316666666666666,0.0,6.315272969374168,6.315272969374168,4.408803160585637,30.54924315619968,21.60715261958998,19.009098196392785,19.009098196392785,0.1106310040224514,4.408803160585637,0.0,17.371786038077968,6.315272969374168,67.0,10.875255381650863
ITW,2.90297121634169,2.1318477251624883,0.9196843082636954,67.54660146006094,51.89446683766948,119.44106829773042,21.04311713692439,98.39795116080604,0.4197320859026153,0.2411226876461832,0.2330427386774399,0.1786802750017719,0.233272506082725,0.1673082028139102,0.8331130204890945,0.26343503174849,0.7667274939172749,0.9664902998236332,0.2411226876461832,0.798911600743297,3.9781890284203567,0.7192949907235622,0.720719889247808,15.39366515837104,0.3835318222563708,4.97951090548579,5.403676752202221,17.345338983050848,7.033505154639175,7.291472868217054,0.9363551898062118,9.24668107440568,8.240197591849336,6.116085211485026,0.5239984133280444,0.2122758522928627,0.891151919866444,0.3835318222563708,54.45454545454545,-9.187116564417176,3.010050251256281,0.5239984133280444,19.22741473892928,19.22741473892928,4.123761925012403,23.078999206664022,21.799234544773324,19.426429716193656,19.426429716193656,13.58110337930615,4.123761925012403,0.0227045552814413,16.266875984752225,19.22741473892928,46.0,12.773259111772346
TJX,1.5311244547918836,0.6104318746119861,0.5478257300988868,3.243244914534789,60.05304931947362,63.296294234008414,34.67737620295397,28.61891803105444,0.2858844807527193,0.1082339092047829,0.1070797235845779,0.0785108455011367,0.2668000731331342,0.2135831220221598,0.6060678928005077,0.4796314352296935,0.7331999268668659,0.9893361920613876,0.1082339092047829,0.647592085706374,1.8376207214427112,0.3291316965828093,0.3291316965828093,65.05641666281096,1.6506527986486192,2.837620721442711,112.54160867229956,10.525594493187397,6.077959473102728,7.416059269204949,2.7204282498660306,3.3589531340849668,2.4345732710776025,2.489543663405981,0.3015218651688771,0.1049050861810917,0.7248012026046977,1.6506527986486192,0.0,-3.633736809407549,-20.18563465535713,0.3015218651688771,11.789437810550828,11.789437810550828,1.5272195433624207,19.452338509592387,20.085656111042265,14.55810770438783,14.55810770438783,0.9573431680036548,1.5272195433624207,0.0155005458608583,11.658819853465902,11.789437810550828,39.0,3.808328172700882
SLB,1.1856772026263551,0.756909451824706,0.08680714612918,85.90257313849986,52.48781337047353,138.3903865089734,60.87569637883008,77.51469013014332,0.1275025063037336,0.0913205942218306,-0.3164929975392654,-0.3079563751253152,0.0298521789210981,-0.1800149168916039,-0.4266414141414141,0.0695607904845651,0.9730274524860818,-3.4657351962741183,0.0913205942218306,0.5706776530757209,1.3525252525252525,0.3833376589670387,0.3916116146873559,4.935960591133005,0.3551065777429057,2.37003367003367,4.248999612753324,5.995824634655532,6.953995157384988,3.550916936353829,0.5845468106265095,3.92129963898917,2.5097472924187727,1.5646209386281589,-0.2731577389760284,0.1649907342710453,0.6400294605045111,0.3551065777429057,10.364503816793894,-2.778005115089514,6.671990171990172,-0.2731577389760284,2.343308080808081,2.343308080808081,1.691436036090774,-5.492453388576502,16.017548906789415,10.25170318541705,10.25170318541705,0.0095664870305155,1.691436036090774,0.0497332830432674,-11.17344,2.343308080808081,14.0,3.4481946048556895
